[mean success],blue_jet_speed,red_jet_speed,blue_jet_sensor_range,red_jet_sensor_range,blue_AEW&C_speed,red_AEW&C_speed,blue_AEW&C_sensor_range,red_AEW&C_sensor_range,blue_GBAD_speed,red_GBAD_speed,blue_GBAD_sensor_range,red_GBAD_sensor_range,blue_GBAD_weapon_range,red_GBAD_weapon_range,blue_AWD_speed,red_AWD_speed,blue_AWD_sensor_range,red_AWD_sensor_range,blue_AWD_weapon_range,red_AWD_weapon_range,blue_subs_speed,red_subs_speed,blue_subs_sensor_range,red_subs_sensor_range,blue_subs_weapons_range,red_subs_weapons_range,AIM120-PK,AIM120-Range,AIM9-PK,AIM9-Range,AGM88-PK,AGM88-Range,AWD-PK,GBAD-PK
0,1341.071788,2661.017608,30.04337424,94.98597478,844.4916335,831.8115731,554.6684093,259.8823775,30.90099896,40.55058073,140.7483967,79.03532119,167.6377865,131.6019129,38.27352023,41.09498044,236.6975642,202.4684598,148.2272874,108.7948062,38.44052022,45.26803376,88.33150463,138.510127,187.4694063,84.55139145,0.815982537,91.03149049,0.98,29.42722136,0.803127268,126.0480362,1,0.5
0,2245.681221,2510.622826,152.7787193,157.0632928,974.5603938,894.9952647,634.6887642,639.2901054,11.52826385,9.865278446,140.0793537,187.4461757,112.1788716,210.1592884,34.84161927,44.37283685,296.8034226,139.2414947,103.9345982,99.50413594,28.3271068,38.15658441,175.8256716,239.564322,265.4212348,216.8749036,0.672243912,130.3584273,0.577204381,22.10206974,0.944614062,69.10905797,0.768529613,1
0,1503.817905,2133.393091,62.14261973,75.24316753,1361.144793,485.5390449,256.7197905,641.0845536,1.20986502,34.78966839,158.6446449,170.499396,149.7482628,79.63849014,32.98520726,39.5689189,276.9088843,155.7913394,169.8000526,226.6171341,26.6297316,50.22053234,179.3850366,161.7338573,110.3669254,99.90131271,0.685040882,90.19470602,0.605537817,24.85165584,0.706811429,103.7857495,1,0.5
0,1771.767316,1358.975191,44.23170331,142.1991096,198.8286677,602.3807112,185.3588349,548.9162407,46.93889165,31.85184226,102.3887046,113.1611205,85.14132068,133.8889542,33.43547751,50.63721394,56.33251067,238.3149026,169.4042797,224.5364005,37.14864454,44.94802296,172.2702486,209.9067248,174.2166703,260.1279673,0.98,89.31923315,0.98,33.39579831,0.737952229,111.8017325,0.544635045,0.782060085
0,1659.334963,2095.105659,110.9879386,76.98326496,1275.332116,1100.284945,393.6238779,376.254813,13.89811523,5.315601065,66.15486272,141.2447568,180.9748715,142.4686107,36.99177331,53.30836935,260.9859985,65.53703301,178.5867809,150.1936539,24.58069161,38.92528907,195.66086,242.8040457,228.2090573,94.43935093,0.798147385,135.3718401,0.693583675,24.84663853,0.5,84.96758454,0.882472615,0.869772627
0,1967.119954,2382.383948,167.0451052,43.25094724,1316.335504,1039.586911,535.5136982,647.5867924,33.91525664,33.54743409,184.7299805,54.99214826,87.7327909,196.1277452,37.56500959,50.7253927,109.9300859,146.6826241,146.0200949,103.3721297,46.0912286,30.70110048,157.7899672,238.3257766,88.17895637,253.90792,0.800449327,80.11455938,0.880412782,31.02614679,0.86757087,108.558598,0.620070711,0.718670748
0,2375.080923,2178.677037,101.4591085,115.0948144,1148.98509,714.5583088,384.6558738,560.3960347,12.55137039,23.63196524,99.39394596,162.463288,177.9326158,213.8313985,52.099205,39.18520692,82.22668503,233.0612092,97.40874016,206.3471629,35.67092703,44.72401379,128.781868,177.5988406,253.2534158,175.4315498,0.48,88.04760527,0.780051453,27.18325202,0.5,120.0676678,0.771669748,0.846722695
0,2568.247954,1806.04673,112.9555416,34.88426955,1157.158634,959.7130049,392.3152764,271.0869174,45.07603125,4.782189212,171.2389531,81.75446616,110.9083901,198.5338146,52.77089764,45.62220804,179.3189201,146.6758304,147.5453864,189.7080883,40.44808554,40.67774023,77.7051883,96.51674319,228.1104821,198.035124,0.98,111.5363563,0.632205782,31.37058117,0.5,117.3609781,0.5,1
0,2605.79686,2446.833801,165.257474,85.94462884,1388.109775,282.3346641,314.89681,379.3049882,37.80095495,15.50314504,144.8459297,96.75863914,162.9007436,145.2245208,56.82719292,31.5348228,109.6519911,265.7669618,178.5223594,218.2781509,37.82022224,46.17282327,166.5642168,177.1523166,249.2217474,264.8836063,0.756443553,90.32755904,0.48,35.02195495,1,90.04782351,1,1
0,2604.2322,1740.964011,76.47817155,99.19560847,1523.994209,1332.060165,457.4676288,238.8744834,36.41058467,7.08675249,179.9556803,188.0296043,183.9561221,161.7956952,47.57840139,54.23137794,123.7489827,194.6921593,192.1097794,228.0238662,53.15663236,44.11735287,123.7807865,128.8742063,143.8431067,192.8804346,0.98,120.7309496,0.98,33.65789281,1,128.4576908,0.5,0.847892847
0.055,2665.242346,2025.876254,84.5585908,64.27190246,583.0196218,771.8071483,186.2540344,404.6357183,0.515107899,11.74918803,55.98869511,170.896245,129.3644082,156.2847969,35.29074752,33.80420948,238.9990142,99.50252608,118.7112498,191.873988,42.08584268,44.55364952,229.946901,208.2879045,221.6858955,115.4389521,0.803139057,89.51685639,0.844053544,26.60425068,0.5,102.5582726,0.5,0.828040818
0.46,1853.05099,2726.125712,90.97051006,78.44422789,408.5505701,1282.763049,232.0184289,211.7559393,46.30943323,31.31521831,123.3137496,125.2451451,133.6945289,80.13826886,57.18839414,58.6354261,170.4913823,293.964,243.6585591,177.6713234,38.23860032,28.42667189,119.2577898,217.0003413,221.5264899,205.3732634,0.98,138,0.48,26.28469971,0.703180225,75.31985464,0.81295118,0.935918739
0,1983.89227,2623.758792,128.4439324,112.1684545,1268.966433,178.1792244,399.6801879,394.1904451,18.3990416,33.94187178,64.38447474,108.9060454,153.9353275,139.6440395,59.76965834,47.79715584,72.58712156,109.9019746,204.698242,167.7282825,24.25943974,25.58167482,179.8239397,218.8964923,165.6674003,166.6470971,0.657582536,83.79279447,0.98,19.53781402,0.5,67.62138845,0.949850547,0.5
0,1927.80385,1876.607064,118.3831201,116.4221746,625.5790703,1481.679964,321.9979064,379.5130076,24.08112702,35.8629326,107.5268106,107.7917793,126.2922631,168.3980283,35.13199662,46.78883619,175.3110716,206.817989,221.654081,102.5739572,31.90040322,31.89047172,210.2351054,168.8922309,172.5054256,105.5723692,0.642455668,102.4055296,0.48,25.70933967,0.5,78.82152084,0.5,0.889348291
0,2534.546358,1970.243875,171.9150938,171.8460989,1116.524141,378.037803,297.5917703,304.2301129,22.80419051,43.5873923,172.4054926,130.8828498,153.2507447,125.0158597,46.5631083,33.81091972,121.4968746,241.7337812,161.3740298,123.0827424,53.99946859,50.59595472,83.77025812,133.7140927,233.5313696,152.9994551,0.598156741,99.38998349,0.48,19.06986494,0.876575447,107.075772,0.5,0.884108231
0,2326.411605,2413.074865,75.07160079,132.2144882,784.1933494,698.0688235,469.4303311,176.9240109,45.03928088,49.37175189,123.402431,145.4356677,105.9399971,113.1244086,34.87180234,50.33709762,191.4386495,256.2370639,197.5561057,156.2893875,38.1501758,39.99825361,215.5761758,113.5234818,148.0537284,203.1790246,0.528698877,121.1495241,0.58518852,22.66927992,0.542793619,71.39071859,0.5,0.5
0,2180.092897,2523.8447,152.9964418,122.5105842,619.7545519,965.7909744,477.7795832,258.0901596,21.63298365,24.251045,50.67241037,140.7344107,91.99319884,138.6232112,45.90799494,52.78971232,177.8011779,242.7623565,214.6712134,143.8783117,35.88770785,29.27223324,134.9689544,118.1860144,246.4719912,71.17230371,0.710646114,77.40848176,0.566545956,28.96712023,0.661735115,86.35116564,0.5,1
0,1400.948386,1813.11163,54.51224472,107.5277695,377.3794587,1096.2971,310.9971415,375.5836129,45.44449434,18.38168558,140.0178394,187.2885863,111.3681876,80.76878924,33.85999428,45.4094661,208.2770154,194.4879921,207.5643159,107.4607236,27.68561357,40.1818873,208.6677069,91.08159928,252.4867363,196.0839262,0.98,80.28727398,0.961648045,20.40017267,0.845975442,128.5920425,0.649998634,0.765516349
0,1979.000933,1594.253579,58.57373639,142.5806204,617.801194,357.9329746,539.6830398,409.4977254,10.99586042,34.83626297,78.81022441,80.64247063,145.8951038,122.7895866,30.59544257,59.85625541,53.46846745,239.9410893,199.2518853,123.437308,49.21874622,26.24539636,189.8508431,98.59732739,91.32955876,232.157348,0.701360194,97.23739627,0.86445808,34.12132795,0.745042321,134.7824566,0.500179325,0.5
0,1799.492704,1500.915497,81.50428942,166.4141403,808.2911592,793.6712502,314.2184607,379.6747455,18.71188372,46.4534713,164.9130536,159.1386968,173.5068811,210.8879027,47.47653668,51.35854126,134.4687515,186.0311223,128.1848688,162.9349627,24,47.24873791,157.6894597,113.4443308,224.9643713,72.22019119,0.703685441,120.6573935,0.807622952,35.46663564,0.809966614,117.4595012,0.644965493,0.789579374
1,1870.469148,1664.691479,176.7221094,38.29006391,1487.056541,1176.116904,376.3020444,318.2862783,26.38748716,26.36611192,72.30494271,133.273578,167.6042062,114.0128064,49.01916617,42.539902,194.9183856,203.9963993,197.0413112,130.9707967,43.95553996,28.71984303,231.5179052,162.0451436,181.793591,162.2273987,0.98,96.70162801,0.98,21.76383019,0.5,128.9430056,0.683641433,0.5
1,1588.352316,1889.182313,83.43459159,37.94311573,869.0943065,310.1346259,432.2290225,217.1211407,7.532425555,21.35338187,173.2863165,82.24789237,112.6794628,89.75586363,42.98068313,55.16347951,288.1100439,114.1695933,196.4315796,231.5616205,38.40876566,27.28565922,117.5966506,225.2849377,190.0123239,127.1655166,0.691726139,110.1547917,0.98,35.73818132,1,129.5099381,1,1
0,2082.738956,1802.648441,84.39637134,45.16407142,1189.891557,876.9875189,535.7289218,639.1870237,39.45846967,0,88.88090478,78.63910486,144.3997537,151.6725175,33.92971598,54.81826369,80.41195475,133.7161157,165.6608365,169.8995926,42.82123192,34.54181625,146.5202925,172.102582,112.1299978,252.4189292,0.98,87.99321899,0.79263125,33.62104376,0.843532626,70.95626889,1,0.541192928
0,2693.82487,1455.175811,177.9636076,111.0795432,1271.716205,769.1155715,499.6150105,195.3017074,21.77059867,14.09057237,150.4814102,115.9199561,165.1563839,113.6617554,45.8107086,40.59736166,162.7806657,257.7235585,181.2699659,118.5034534,46.1995543,42.82724694,161.6377083,198.8084433,203.2846428,109.204925,0.98,102.5652467,0.881441214,35.61600262,0.583689568,117.6134358,0.532660701,1
0,1602.617699,2053.304242,59.06698308,165.8244539,408.786316,1359.184063,264.5288121,171.3569948,20.92641944,7.195909052,69.19323717,172.1011183,109.5524693,130.9256604,38.8662288,43.30656042,280.0006365,275.3582743,197.3584697,212.7817463,35.21428692,50.34263583,220.696972,95.24544385,82.00629405,232.4778794,0.77538774,125.8034506,0.683830631,32.54606477,0.972926592,139.7435457,1,0.5
0,2341.834081,1288.278112,75.93936236,135.620089,189.6043281,1197.21315,181.6769394,490.9473473,43.17755859,46.17849232,100.7322438,61.12571213,81.65242647,160.4776758,30.39692528,32.70588479,123.4664738,88.54001157,172.1850065,237.9433042,46.77262708,27.22603316,189.4892577,218.1338776,112.5148319,183.640444,0.48,125.1320702,0.98,33.44622677,0.626188809,86.05484873,0.630782656,0.503766853
0,1683.703845,2193.326503,45.40325581,86.83650447,1187.479807,1012.777057,386.7316266,302.7110369,12.27716791,34.73485518,150.6074027,77.25980275,209.9194993,76.88919846,41.65252284,43.4702494,263.6818796,292.8227614,123.4675192,101.2521562,34.21000288,35.15562976,258.4345921,232.1979526,226.2592113,240.5909074,0.98,131.4426293,0.582939997,19.33156903,0.5,85.41547927,0.5,0.738032583
0.65,2628.582172,2293.763478,167.1657475,83.7238375,1374.23523,403.1490263,234.6152984,358.3612936,41.31490723,28.18899958,145.7225607,137.470381,209.4569603,125.4457998,46.48586892,40.0248857,249.142428,205.0007026,206.0279251,207.0711046,47.62280562,30.31467526,140.3598102,231.1584125,89.08753569,179.5209977,0.85061947,120.251971,0.966318962,33.59960059,1,93.52071223,0.5,0.609692187
0,1838.163909,1741.793501,56.84521204,34.83943999,1230.37574,896.2618583,409.5572566,246.8414347,39.61439609,44.17105844,69.38139823,134.0591665,88.26061364,175.4624125,55.2430052,46.63438893,257.900195,291.9490193,195.5979913,191.999578,36.83992414,32.52948206,69.67391671,124.7025636,266.2016555,106.3347542,0.569511429,78.61908454,0.546431988,26.77574632,0.99288811,91.21044525,1,0.599474178
0,2593.085423,2413.02378,48.1921978,95.39404746,431.530122,1322.152083,151.268612,275.9063833,17.67041047,31.93055089,152.734188,131.7072077,78.96667809,204.8095568,40.29733419,58.19081264,233.5316255,262.5405427,158.8155794,183.186951,50.76113834,35.01261393,259.5634526,119.4308969,183.9107405,245.9187307,0.938821811,109.6402229,0.48,33.44313396,0.926903437,136.5024953,0.715104884,1
0,2352.468622,2492.38914,95.22714778,64.86101591,985.4328571,173.2119307,552.4809492,527.8735405,33.47796274,48.73715752,181.6676059,136.2764475,159.7791924,146.7309155,39.43482339,48.04874196,273.8748996,191.262426,169.9309616,192.4735549,41.26693729,27.65911775,208.8317756,220.1385258,251.368329,144.5442792,0.790624194,100.7982412,0.745088025,24.80603268,0.56053794,108.4715775,0.762358865,0.9022679
0,2201.762388,2728.687747,53.77268584,82.46923213,778.2333294,760.4152538,382.9985841,265.6119347,28.60097389,0.150860626,123.7957225,140.7496693,175.900557,161.1855535,32.06609223,51.67343638,297.8906573,141.2402717,219.1681858,187.0148076,39.08704877,41.07098034,124.7670622,198.0999642,206.9507661,141.2878949,0.98,77.00447579,0.48,36,0.5,110.6871334,0.5,0.546220137
0,2688.899769,1733.37716,169.2857045,153.9908233,1383.657167,1553.683487,320.1052417,286.1349161,36.93690362,29.39013015,191.2327671,67.49388882,198.9215604,95.41589833,33.09232331,40.04909262,108.1991274,136.4091874,150.6181262,110.4684542,25.73753437,43.34220466,264.4191791,82.95061841,247.6546298,218.1113326,0.874964553,112.8846326,0.803711658,28.45123932,0.953479525,83.06936769,0.777590562,0.703839652
0,2447.362005,1773.933631,117.683856,116.1271886,662.5681158,614.9408578,441.0242333,556.1576287,16.50616414,12.75199616,83.12537743,153.1679582,99.18692643,190.2389561,52.41446136,33.31586479,236.9382225,264.6397078,209.9405773,188.5839378,50.02150934,41.42705045,120.0047749,176.1657215,139.8159198,122.6784439,0.48,117.0611038,0.554102305,22.32762054,1,90.79700154,0.740528736,0.608047401
0,2440.237492,2121.056442,126.8240103,137.004764,1373.334531,957.5126078,301.4236046,454.15419,11.01697805,36.20340061,178.0612697,138.1553279,212.1013073,110.6596623,45.65139198,53.26106702,205.8569005,248.1662929,154.0950147,198.7494352,36.06042084,40.78334348,139.0647678,167.0230806,206.0605298,77.3965243,0.665860768,88.77009224,0.66367415,19.17196977,1,116.3340863,0.589414487,0.80143593
0,1637.747303,1572.780493,57.57690407,161.4406752,776.7727979,311.0016469,395.2686164,645.7791872,29.55677575,1.788293614,116.5051341,146.0755724,202.3974135,125.7430674,48.15707941,58.1667909,79.4572567,209.040006,158.4090911,121.3298309,51.93233893,39.38041821,158.120454,211.8585354,168.4474437,161.4032581,0.791276324,106.8306275,0.932679383,33.81834255,0.574290704,139.5422674,0.798988425,1
0.795,2503.052093,2145.450476,61.39797841,47.33180689,1271.604753,1521.905007,420.0151614,255.6196095,19.13257136,7.202920176,107.8626542,118.9514849,159.3008124,135.2635316,39.37452595,55.06473474,169.602813,135.1770234,199.4866369,111.0857994,38.16346869,43.41572836,154.0237271,103.7589995,221.4830647,162.4736111,0.98,83.37974586,0.684363918,27.94694102,0.832870637,89.55550116,0.736572257,0.978478386
0,1768.570152,1670.224805,145.0558186,65.50518628,960.8568333,359.3741288,400.7390461,495.2996461,31.18502414,22.75850672,179.7627082,57.11628362,220.537446,207.0923156,38.65436938,49.2011962,290.246601,301,138.4957188,157.3390437,30.66084623,51.97538916,186.1267416,162.5780193,206.7419649,128.8671023,0.95831089,103.2036293,0.48,32.36281506,0.951041672,85.066417,1,0.844673658
0,2219.152951,1936.801222,144.5451592,124.3585536,1223.63398,1114.648572,537.1140544,495.301044,31.07791249,10.20833413,119.9398628,147.2869486,154.3791171,212.1822643,53.83780279,39.20623026,248.7876395,162.3270816,137.093245,148.9906746,24.05978674,47.14121819,142.9158239,208.7341711,199.5794393,136.8945042,0.754779028,105.3288561,0.694299059,31.23330373,0.701965264,93.24576625,0.5,0.840863403
0,2188.918787,1409.174164,170.9016726,154.6157687,821.3699453,1110.363097,513.8013212,493.2009766,23.55524798,10.57365864,94.81558145,73.55283827,149.5862135,216.5803193,39.61629847,33.86374636,92.55327077,75.27922172,183.9556683,216.7137277,46.61891699,33.13738264,155.1676569,175.948728,133.0782126,192.3738432,0.672417777,101.1208068,0.98,24.15459967,0.545144149,124.8805834,0.623946764,0.5
1,2278.84403,1307.674738,104.1245991,52.95265559,215.977248,820.83333,356.7784659,476.647847,25.73329692,27.15652065,70.59660402,171.4916905,154.0109583,94.21063455,55.86093745,54.74487104,250.6805235,98.70011624,190.8564515,124.091051,40.49655441,36.04983841,210.5438113,128.2659881,75.63014411,93.35680236,0.753302168,136.7928263,0.696427714,32.85687568,0.7235049,121.5911368,0.971420335,0.500902764
0,1659.557302,2074.499291,97.93136754,140.3253355,872.3625019,1429.113329,462.3718808,588.4802746,10.91965685,20.66419046,108.8359094,139.0989808,109.4002163,142.980128,37.74060146,37.61239015,103.8271379,160.8467269,174.3882949,165.197507,25.35961619,41.56035668,172.4373297,201.0150429,146.5393408,92.11230161,0.965829205,130.9320458,0.883026943,32.69733569,0.5,119.0561543,0.976268154,0.866379704
0,2708.891096,1992.308602,117.3866901,102.941134,899.6523903,609.2366928,642.4725644,475.1812209,20.35246616,21.14068837,181.9259481,141.0260164,151.9904556,131.0113923,55.23562566,38.47171312,72.06108027,61.04150359,97.43429765,98.42141764,24.35894472,51.77882218,144.4165069,135.011938,251.4546093,144.804013,0.98,81.70594962,0.48,25.23885953,0.770847253,112.7919574,0.937698028,0.93608313
0,2173.476381,2448.87094,143.3143393,164.2591856,813.0309047,485.5220796,521.9354739,622.287552,42.15824122,5.560831203,97.37334941,50.31971144,72.10424888,93.71954438,50.77820626,31.03853253,289.5629349,64.51814339,207.1439725,108.1923229,52.64632783,52.6014394,135.7563646,156.4723372,221.3416039,177.071288,0.48,91.72932439,0.662687388,23.04839384,0.5,107.0207315,0.76158023,0.702076263
0,1799.955502,1983.052001,71.36551031,104.185303,1202.548916,437.0711133,178.83132,442.3438281,33.08237262,46.92938593,114.9946654,122.5643974,73.23147733,131.6991968,44.76402202,35.34792838,112.2105887,195.9742308,175.3393671,175.5763164,44.20888862,32.72284321,204.7631633,128.9731177,221.5192478,218.881628,0.782826639,89.57369438,0.48,20.34069529,0.5,141,0.818731201,0.641275746
0,1811.099213,2526.819256,173.2238544,45.70288321,200.7554805,564.1015136,461.8538176,524.1625789,17.45896139,11.09128283,149.2374152,62.32314256,94.9964173,118.026854,58.76725204,35.7428427,211.0457298,196.3133845,117.1724977,189.1906812,37.97899977,53.64540214,92.91566929,265,204.0973129,160.6241156,0.48,137.4744518,0.908133999,35.03845955,0.553006041,95.05548109,1,0.910646312
0,1773.735862,2658.203718,133.1148701,85.12033634,210.7811324,1238.653715,277.8396683,245.1432063,18.1297551,40.95979111,195.9234128,160.4357834,220.1433164,208.9715367,59.47309553,30.09513202,111.9406179,82.05912905,184.9341631,194.2467677,25.78159086,28.46561134,260.4107995,223.8657018,147.8836004,249.7982428,0.728353832,136.9298785,0.48,35.38615226,0.802668757,67.96893123,0.532267621,0.5
0,2646.218333,2672.918748,113.1959934,125.6876753,575.3240708,1110.908588,351.974754,318.5371785,18.01380531,47.18690998,62.72917117,126.395385,218.5284335,186.076285,34.86838377,51.46058114,96.99692398,81.05311,178.6798506,205.2975634,44.31981595,46.55832354,67.6693323,198.5764542,160.5572799,235.3482756,0.849939906,106.3235803,0.48,27.25425278,0.958847645,84.36195772,0.560984155,0.764422633
1,2470.385397,2690.506416,154.1991292,79.63656349,926.4494308,913.2529288,391.1938663,289.1551222,42.50246972,39.74795576,116.2586872,131.3909233,103.7171464,158.0077307,32.48306097,35.86319402,123.4795996,173.3916906,135.1025578,133.8513443,29.30321427,43.13687241,157.3291269,163.9914181,151.8103105,235.314113,0.655160023,117.4653746,0.686068074,24.80678504,0.551246253,140.7985692,0.93797781,1
0,1627.372889,2737.726518,170.3226332,127.9333838,1220.543752,705.3318039,571.4736925,437.7979589,13.60291767,37.38314099,80.86460218,140.425243,82.09506811,203.1099612,52.39261452,47.29628786,197.0348609,166.2417366,207.8101275,158.9843348,29.7177124,29.11502693,202.3849778,157.8204194,128.6018089,156.8864288,0.889720282,131.6881557,0.792322604,21.2110232,1,100.7520989,0.927092738,0.802136428
0,2256.011592,2384.012076,33.98673874,81.32469578,1121.347874,1304.907349,389.9010632,236.2058036,11.08972148,44.49042736,194.7077675,120.5848709,112.5029853,216.629196,46.21530593,38.80087028,83.90189567,225.7123795,176.7645647,104.6164083,43.06723307,47.33058014,222.1871238,100.6888386,192.2487493,176.2329192,0.946391547,135.4270076,0.48,22.49867692,0.5,83.92065178,1,0.5
0,2218.795509,1387.893875,62.72138293,167.7979903,416.3313676,255.8207924,411.0282191,189.3749326,21.94879725,21.33796907,107.1321351,145.083116,102.3870648,208.634469,56.72262029,50.68681249,301,265.7096525,186.6383631,176.8558466,41.92073008,44.72740749,154.8682576,222.8649801,140.8498527,168.7481494,0.676390958,101.9921256,0.48,22.35471388,0.5,83.90895171,0.602770451,0.785110352
1,2729.489432,1993.637096,153.5026856,67.56654812,762.9507867,1060.37194,556.3116386,312.2355946,44.82981028,37.75111746,47.4248768,80.43222067,155.7450466,135.5015834,55.05041902,55.43943394,65.13952576,152.9864313,219.4404899,119.9521736,24.9802014,39.08773138,72.71521968,202.7958021,73.98778742,227.0545107,0.604897774,120.2540087,0.541997898,33.89627029,1,105.0992662,0.673630979,0.734966483
0,2448.094433,2368.787522,145.1312518,162.9585645,476.5707573,421.7714094,410.0855437,450.3512345,21.57224963,19.64205589,178.613246,58.80206684,108.8679944,83.87439243,51.23809774,58.26252531,64.30147597,96.13128647,166.2871898,106.5533021,33.35454532,31.63697719,259.3083338,230.3847727,214.5494928,119.777298,0.671298764,106.7739315,0.671410989,31.86081329,0.5,77.02120128,0.787092402,0.681331792
0,1746.727699,2593.118657,144.8910293,59.60011356,189.5660092,444.6391602,348.5469319,236.7794011,38.31246288,41.23366867,118.0313199,98.80643478,175.1700054,193.4760946,52.63494825,39.97302522,172.0193084,258.5179019,226.8574045,158.9878105,53.18082698,51.28788131,235.226715,208.7735357,160.2792374,121.505018,0.48,89.03108507,0.693772465,19,0.5,103.1196173,0.718911065,0.5
0,2363.388313,1968.931835,45.61257253,86.66606639,1314.23481,842.0320165,183.6029015,558.7404252,26.84992695,5.656014389,144.0736932,60.04829148,182.5485859,130.9475834,51.62711308,48.63358792,267.5401287,164.3510555,146.9713386,174.1647389,43.89398399,24.818654,217.5616958,249.8824639,152.0603758,87.81716204,0.802469374,93.08142857,0.800350154,24.56125842,1,99.12577047,0.5,1
0,1776.011644,1797.715963,55.96668589,87.10322724,1263.907871,831.7443892,312.7225825,604.5835994,25.04269397,5.991790216,166.5477295,183.225335,141.260299,137.327252,45.65087134,48.03898498,91.55271917,205.0760281,179.0797657,243.6961614,48.9047083,39.50215512,160.9644748,68.52722545,194.4377253,69.22329072,0.840223788,111.6366834,0.98,28.00694538,1,119.5872902,0.549610126,0.706107537
0,2309.159919,1458.836275,104.130178,172.1177941,446.7647216,1113.245893,620.0192797,548.4569273,25.14053215,24.07866639,46,71.53865597,99.4426291,154.3777029,31.89403861,43.12073737,282.442731,162.933383,100.1480561,201.2888888,43.87142324,37.16512551,177.0649416,153.4151744,171.8009825,148.2645207,0.674055493,81.79177055,0.98,33.64158608,0.880371037,112.9940637,1,0.95717944
0,2642.149527,1782.140724,44.027173,100.0944792,145.7495481,1479.50475,468.6155083,489.3406873,38.06870193,13.46819671,185.9174326,128.321025,157.0371548,117.0901219,45.19667182,47.00400253,155.1483809,110.210639,156.0482928,232.1504708,44.97789727,42.08558311,169.158073,139.9931127,202.7987593,78.8326015,0.613676559,93.42883833,0.483862836,22.74746778,0.5,116.8852484,0.77562984,0.809328542
0,2251.068985,1559.356726,107.6798332,38.27292313,1426.309548,1346.451138,238.6156105,155.6916015,36.03404413,20.15301458,69.7776878,147.9991504,88.38054409,188.185551,50.34452589,48.10955873,242.3767222,120.3494759,230.9731955,203.3809643,43.13697393,43.22578951,260.2691,236.0404712,72.8984906,162.4285664,0.48,92.90435592,0.679006679,23.12896299,0.877272347,74.66479817,0.866823799,0.660584292
0,1289.029151,1272.7404,132.6646372,70.01754752,1446.102739,1286.883415,533.0859936,272.8853883,36.7607739,12.7866772,72.52916772,61.72468592,103.5077311,163.2590923,59.93100566,51.54722727,173.647436,96.14637047,161.6916059,111.8411966,53.19585327,25.271099,85.9783656,191.1080292,228.8679396,112.4199085,0.640212973,130.5270113,0.618800185,24.57188345,0.848537838,89.88146682,1,0.774819069
0,1704.142992,1520.333998,40.72546573,135.8485344,855.9494609,1577.654843,563.9855358,153.3025611,29.38037408,42.90737495,99.70646551,160.2871231,171.5605616,108.3647494,47.24052418,34.60396732,95.92652285,120.5811505,172.4630501,187.6693021,31.25251457,39.62249815,97.17591975,85.97605733,148.5698652,88.73969774,0.72223638,101.5844398,0.86577403,29.70622368,0.530725054,106.0362636,0.5,0.694893399
0,1799.937047,2717.856087,88.34029504,115.1089686,840.5124054,240.8816145,185.3616805,479.3303538,23.91805374,19.40087621,134.086331,109.4079516,113.2598163,133.7729592,38.44818871,41.64225425,160.0737078,177.1319202,106.7112302,169.1676166,27.03379897,50.81901202,247.3895411,256.9752118,255.2631598,263.8997498,0.48,101.5841974,0.894390086,25.3927274,1,79.49219496,0.516704672,1
0,1541.917242,2635.81584,78.57406135,129.8107312,1326.050745,1370.589427,557.8567367,430.1177369,46.55699353,41.96290997,140.2219772,106.9436776,107.7392031,198.6281197,38.46681847,49.48631582,200.2865461,235.3747817,98.1157582,141.4886884,26.1287883,34.00707789,179.8534645,152.3072614,136.6498433,149.6042104,0.708456285,86.95005451,0.98,27.99020494,0.5,120.4307518,0.946975113,0.697577536
0,2477.2443,1278.573036,125.8424915,101.2566957,1402.596245,900.5220378,422.408271,258.6069543,44.96157633,19.90363057,91.49457621,83.45761221,187.7231729,185.3418514,44.47616706,52.10534214,185.4148202,160.0543924,219.3573135,196.615934,25.01970154,35.72342773,183.5446689,194.1470176,229.9224577,233.7048407,0.646270017,121.2080807,0.766095264,27.81019284,0.616239542,139.2249413,0.772844348,0.5
0,2187.418856,2035.668201,139.1370812,35.59101018,411.7446682,452.526181,383.2180766,569.0746499,21.20090389,0.082067199,77.50537897,153.2924647,197.2472026,143.0900414,41.24466144,38.50818414,137.0591135,89.12577693,111.0554113,208.7396987,51.53146227,50.83121189,171.1659237,264.5704214,222.0652383,228.9490112,0.60060106,127.8255446,0.715359956,35.03025643,1,110.2023547,1,0.565413661
0,1404.572279,1917.729395,146.0711226,162.307622,1100.866486,754.4834664,343.8949669,642.6557222,37.04506906,36.43429501,142.0786649,182.3075171,101.4252933,219.9193896,56.69524396,59.35543549,271.9261059,279.2962231,173.9398727,106.7184374,35.37981439,26.46347396,232.8001941,115.2433626,219.7462615,161.7725568,0.519214093,118.6412807,0.772764949,25.64754152,0.92124531,103.3029997,0.963084229,0.5
0,1559.433774,2151.013896,43.78421913,72.40166517,938.2605876,737.2117304,171.7945124,354.2365366,49.07634968,43.08834364,148.2504553,69.45159116,210.0052171,130.1824091,42.92314779,47.70606887,113.3693279,268.7827945,234.8854495,218.1146572,31.79968403,45.28969131,85.61450453,172.433343,107.5842998,111.5213834,0.490554925,81.61851805,0.879591347,22.37951633,1,71.52311689,1,0.617984733
